id,name,team,position,age,height_cm,total_points,avg_per_match,attack_pts,attack_eff,attack_avg,block_pts,block_eff,block_avg,serve_pts,serve_eff,serve_avg
142710,Stephen Boyer,FRANCIA,OPUESTO,30,196,164,13.67,142,44.79%,11.83,17,19.54%,1.42,5,3.42%,0.42
142741,Douglas Correia De Souza,-,PUNTA RECEPTOR,31,199,20,2.50,18,40.00%,2.25,2,25.00%,0.25,0,0.00%,0.00
142744,Fernando Gil Kreling,BRASIL,ARMADOR,30,186,12,1.00,6,60.00%,0.50,4,9.52%,0.33,2,1.23%,0.17
142747,Douglas Pureza,BRASIL,LÍBERO,29,178,0,0.00,0,-,-,0,-,-,0,-,-
142855,Chuan Jiang,CHINA,OPUESTO,32,205,44,3.67,34,42.50%,2.83,10,31.25%,0.83,0,0.00%,0.00
143803,Murat Yenipazar,TURQUÍA,ARMADOR,33,194,27,2.08,13,54.17%,1.00,6,9.52%,0.46,8,4.10%,0.62
143896,Tomas Lopez,-,PUNTA RECEPTOR,31,190,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
143996,Oleh Plotnytskyi,UCRANIA,PUNTA RECEPTOR,29,190,121,13.44,97,41.81%,10.78,7,17.95%,0.78,17,9.94%,1.89
144005,Simone Giannelli,ITALIA,ARMADOR,30,200,16,3.20,10,47.62%,2.00,5,18.52%,1.00,1,1.41%,0.20
144415,Jani Kovačič,-,LÍBERO,34,186,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
146409,Akihiro Yamauchi,JAPÓN,CENTRAL,32,204,48,4.00,36,63.16%,3.00,12,20.00%,1.00,0,0.00%,0.00
146600,Hideomi Fukatsu,JAPÓN,ARMADOR,36,181,7,0.47,1,20.00%,0.07,4,10.26%,0.27,2,0.88%,0.13
147263,Javier Octavio Concepcion Rojas,-,CENTRAL,28,202,30,7.50,21,51.22%,5.25,5,11.90%,1.25,4,7.41%,1.00
147273,Jose Israel Masso Alvarez,CUBA,OPUESTO,28,204,85,10.62,71,48.30%,8.88,6,10.91%,0.75,8,8.42%,1.00
147421,Micah Ma'a,ESTADOS UNIDOS,ARMADOR,29,192,15,1.00,5,71.43%,0.33,6,18.18%,0.40,4,3.36%,0.27
147473,Jordan Ewert,ESTADOS UNIDOS,PUNTA RECEPTOR,29,195,34,3.40,30,43.48%,3.00,4,13.79%,0.40,0,0.00%,0.00
147554,Vitalii Shchytkov,UCRANIA,ARMADOR,34,186,3,0.30,2,66.67%,0.20,1,4.76%,0.10,0,0.00%,0.00
147721,Jeffrey Jendryk II,ESTADOS UNIDOS,CENTRAL,30,208,62,4.13,46,56.79%,3.07,13,14.29%,0.87,3,3.12%,0.20
148120,Taylor Averill,ESTADOS UNIDOS,CENTRAL,34,201,62,4.13,52,66.67%,3.47,7,10.00%,0.47,3,3.03%,0.20
148636,Vasyl Tupchii,UCRANIA,OPUESTO,34,194,168,12.92,137,48.58%,10.54,16,20.78%,1.23,15,8.47%,1.15
149118,Marko Matić,TURQUÍA,CENTRAL,31,211,11,0.85,7,43.75%,0.54,3,18.75%,0.23,1,3.57%,0.08
150382,Nemanja Mašulović,SERBIA,CENTRAL,30,205,21,1.75,11,45.83%,0.92,7,17.50%,0.58,3,4.92%,0.25
150436,Fabio Balaso,ITALIA,LÍBERO,30,178,0,0.00,0,-,-,0,-,-,0,-,-
150741,Bartlomiej Boladz,POLONIA,OPUESTO,31,204,184,16.73,154,55.60%,14.00,21,24.71%,1.91,9,6.98%,0.82
151390,Tonček Štern,-,OPUESTO,30,200,113,16.14,96,52.46%,13.71,8,17.39%,1.14,9,9.18%,1.29
151391,Jan Kozamernik,ESLOVENIA,CENTRAL,30,204,86,5.73,54,52.43%,3.60,28,20.29%,1.87,4,1.90%,0.27
151404,Sašo Štalekar,ESLOVENIA,CENTRAL,30,214,53,3.53,37,62.71%,2.47,15,15.62%,1.00,1,1.61%,0.07
151817,Miguel Angel Lopez Castro,CUBA,PUNTA RECEPTOR,29,189,113,14.12,98,47.34%,12.25,6,12.00%,0.75,9,7.14%,1.12
151871,Arthur Szwarc,CANADÁ,OPUESTO,31,209,13,3.25,12,50.00%,3.00,0,0.00%,0.00,1,4.76%,0.25
152349,Tobias Krick,ALEMANIA,CENTRAL,27,210,73,6.08,60,68.97%,5.00,13,15.66%,1.08,0,0.00%,0.00
152370,Riccardo Sbertoli,ITALIA,ARMADOR,28,188,6,0.67,1,50.00%,0.11,2,11.76%,0.22,3,5.26%,0.33
152405,Roberto Russo,ITALIA,CENTRAL,29,207,0,-,0,-,-,0,-,-,0,-,-
152408,Gianluca Galassi,ITALIA,CENTRAL,29,201,16,1.78,14,77.78%,1.56,2,10.53%,0.22,0,0.00%,0.00
152506,Benjamin Diez,FRANCIA,LÍBERO,28,183,0,0.00,0,-,-,0,-,-,0,-,-
152518,Yuantai Yu,CHINA,PUNTA RECEPTOR,28,186,71,6.45,58,40.28%,5.27,9,20.00%,0.82,4,4.21%,0.36
152537,Adis Lagumdzija,TURQUÍA,OPUESTO,27,211,240,18.46,197,45.71%,15.15,24,26.97%,1.85,19,10.44%,1.46
152547,Berkay Bayraktar,TURQUÍA,LÍBERO,28,190,0,0.00,0,-,-,0,-,-,0,-,-
152619,Aleks Grozdanov,BULGARIA,CENTRAL,28,208,86,7.17,55,58.51%,4.58,27,21.77%,2.25,4,2.50%,0.33
152692,Agustin Loser,ARGENTINA,CENTRAL,28,198,60,7.50,38,58.46%,4.75,20,23.53%,2.50,2,2.13%,0.25
152713,Tim Peter,ALEMANIA,PUNTA RECEPTOR,29,197,5,0.42,1,100%,0.08,0,-,-,4,7.02%,0.33
152742,Morteza Sharifi,IRÁN,PUNTA RECEPTOR,27,193,115,9.58,103,46.40%,8.58,6,11.32%,0.50,6,4.23%,0.50
152752,Amirhossein Esfandiar,-,PUNTA RECEPTOR,27,209,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
152753,Ali Ramezani,-,ARMADOR,28,200,0,0.00,0,-,-,0,-,-,0,-,-
152845,Gabriel Garcia,ESTADOS UNIDOS,OPUESTO,27,200,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
152866,Tomasz Fornal,POLONIA,PUNTA RECEPTOR,29,200,61,8.71,44,47.31%,6.29,6,14.29%,0.86,11,12.94%,1.57
153050,Ignacio Luengas,-,PUNTA RECEPTOR,30,197,0,0.00,0,0.00%,0.00,0,-,-,0,-,-
153200,Daniele Lavia,ITALIA,PUNTA RECEPTOR,26,200,44,4.89,35,35.71%,3.89,8,25.81%,0.89,1,1.47%,0.11
153369,Muhammed Kaya,-,ARMADOR,31,201,1,0.25,1,100%,0.25,0,-,-,0,0.00%,0.00
153387,Jan Firlej,POLONIA,ARMADOR,29,188,7,0.64,2,40.00%,0.18,2,7.69%,0.18,3,3.41%,0.27
153388,Jakub Popiwczak,POLONIA,LÍBERO,30,180,0,0.00,0,-,-,0,-,-,0,-,-
153389,Marcin Komenda,POLONIA,ARMADOR,30,198,17,1.55,1,16.67%,0.09,14,22.95%,1.27,2,1.23%,0.18
153395,Kamil Semeniuk,POLONIA,PUNTA RECEPTOR,30,195,51,7.29,43,53.09%,6.14,6,42.86%,0.86,2,4.35%,0.29
154918,Maksym Drozd,UCRANIA,CENTRAL,35,208,4,0.44,4,36.36%,0.44,0,0.00%,0.00,0,0.00%,0.00
156676,Martin Atanasov,BULGARIA,PUNTA RECEPTOR,29,196,65,5.42,52,45.22%,4.33,7,21.88%,0.58,6,5.36%,0.50
157065,Oleksandr Nalozhnyi,-,PUNTA RECEPTOR,30,196,3,0.43,3,75.00%,0.43,0,-,-,0,0.00%,0.00
